#
# $Id: adxectivos.txt,v 1.4 2007/10/03 07:03:01 fmendez Exp $
# $Name:  $
#	
aaronita,M,S
acaciano,M,S,acaciano
acacianos,M,P,acaciano
academicista,A,S
academicistas,A,P,academicista
acadia,F,S,acadio
acadias,F,P,acadio
acadio,M,S,acadio
acadios,M,P,acadio
académica,F,S,académico
académicas,F,P,académico
académico,M,S,académico
académicos,M,P,académico
acaecedera,F,S,acaecedero
acaecederas,F,P,acaecedero
acaecedero,M,S,acaecedero
acaecederos,M,P,acaecedero
acalefo,M,S,acalefo
acalefos,M,P,acalefo
acallador,M,S,acallador
acalladora,F,S,acallador
acalladoras,F,P,acallador
acalladores,M,P,acallador
acalorada,F,S,acalorado
acaloradas,F,P,acalorado
acalorado,M,S,acalorado
acalorados,M,P,acalorado
acalumniador,M,S,acalumniador
acalumniadora,F,S,acalumniador
acalumniadoras,F,P,acalumniador
acalumniadores,M,P,acalumniador
acalórica,F,S,acalórico
acalóricas,F,P,acalórico
acalórico,M,S,acalórico
acalóricos,M,P,acalórico
acamada,F,S,acamado
acamadas,F,P,acamado
acamado,M,S,acamado
acamados,M,P,acamado
acambrayada,F,S,acambrayado
acambrayadas,F,P,acambrayado
acambrayado,M,S,acambrayado
acambrayados,M,P,acambrayado
acamellada,F,S,acamellado
acamelladas,F,P,acamellado
acamellado,M,S,acamellado
acamellados,M,P,acamellado
acampanada,F,S,acampanado
acampanadas,F,P,acampanado
acampanado,M,S,acampanado
acampanados,M,P,acampanado
acamuzada,F,S,acamuzado
acamuzadas,F,P,acamuzado
acamuzado,M,S,acamuzado
acamuzados,M,P,acamuzado
acanalada,F,S,acanalado
acanaladas,F,P,acanalado
acanalado,M,S,acanalado
acanalados,M,P,acanalado
acanallada,F,S,acanallado
acanalladas,F,P,acanallado
acanallado,M,S,acanallado
acanallados,M,P,acanallado
acandilada,F,S,acandilado
acandiladas,F,P,acandilado
acandilado,M,S,acandilado
acandilados,M,P,acandilado
acanelada,F,S,acanelado
acaneladas,F,P,acanelado
acanelado,M,S,acanelado
acanelados,M,P,acanelado
acanillada,F,S,acanillado
acanilladas,F,P,acanillado
acanillado,M,S,acanillado
acanillados,M,P,acanillado
acantilada,F,S,acantilado
acantiladas,F,P,acantilado
acantilado,M,S,acantilado
acantilados,M,P,acantilado
acantinflada,F,S,acantinflado
acantinfladas,F,P,acantinflado
acantinflado,M,S,acantinflado
acantinflados,M,P,acantinflado
acantocéfala,F,S,acantocéfalo
acantocéfalas,F,P,acantocéfalo
acantocéfalo,M,S,acantocéfalo
acantocéfalos,M,P,acantocéfalo
acantopterigia,F,S,acantopterigio
acantopterigias,F,P,acantopterigio
acantopterigio,M,S,acantopterigio
acantopterigios,M,P,acantopterigio
acantácea,F,S,acantáceo
acantáceas,F,P,acantáceo
acantáceo,M,S,acantáceo
acantáceos,M,P,acantáceo
acaparador,M,S,acaparador
acaparadora,F,S,acaparador
acaparadoras,F,P,acaparador
acaparadores,M,P,acaparador
acaparrosada,F,S,acaparrosado
acaparrosadas,F,P,acaparrosado
acaparrosado,M,S,acaparrosado
acaparrosados,M,P,acaparrosado
acaponada,F,S,acaponado
acaponadas,F,P,acaponado
acaponado,M,S,acaponado
acaponados,M,P,acaponado
acapulqueña,F,S,acapulqueño
acapulqueñas,F,P,acapulqueño
acapulqueño,M,S,acapulqueño
acapulqueños,M,P,acapulqueño
acaracolada,F,S,acaracolado
acaracoladas,F,P,acaracolado
acaracolado,M,S,acaracolado
acaracolados,M,P,acaracolado
acarambanada,F,S,acarambanado
acarambanadas,F,P,acarambanado
acarambanado,M,S,acarambanado
acarambanados,M,P,acarambanado
acariciador,M,S,acariciador
acariciadora,F,S,acariciador
acariciadoras,F,P,acariciador
acariciadores,M,P,acariciador
acarnerada,F,S,acarnerado
acarneradas,F,P,acarnerado
acarnerado,M,S,acarnerado
acarnerados,M,P,acarnerado
acarrascada,F,S,acarrascado
acarrascadas,F,P,acarrascado
acarrascado,M,S,acarrascado
acarrascados,M,P,acarrascado
acarreadiza,F,S,acarreadizo
acarreadizas,F,P,acarreadizo
acarreadizo,M,S,acarreadizo
acarreadizos,M,P,acarreadizo
acarreador,M,S,acarreador
acarreadora,F,S,acarreador
acarreadoras,F,P,acarreador
acarreadores,M,P,acarreador
acasamatada,F,S,acasamatado
acasamatadas,F,P,acasamatado
acasamatado,M,S,acasamatado
acasamatados,M,P,acasamatado
acasarado,M,S,acasarado
acasarados,M,P,acasarado
acastañada,F,S,acastañado
acastañadas,F,P,acastañado
acastañado,M,S,acastañado
acastañados,M,P,acastañado
acastillada,F,S,acastillado
acastilladas,F,P,acastillado
acastillado,M,S,acastillado
acastillados,M,P,acastillado
acastorada,F,S,acastorado
acastoradas,F,P,acastorado
acastorado,M,S,acastorado
acastorados,M,P,acastorado
acatable,A,S,acatable
acatables,A,P,acatable
acatalecto,M,S,acatalecto
acatalectos,M,P,acatalecto
acataléctico,M,S,acataléctico
acatalécticos,M,P,acataléctico
acatólica,F,S,acatólico
acatólicas,F,P,acatólico
acatólico,M,S,acatólico
acatólicos,M,P,acatólico
acaudalada,F,S
acaudaladas,F,P
acaudalado,M,S
acaudalador,M,S,acaudalador
acaudaladora,F,S,acaudalador
acaudaladoras,F,P,acaudalador
acaudaladores,M,P,acaudalador
acaudalados,M,P,acaudalado
acaudillador,M,S,acaudillador
acaudilladora,F,S,acaudillador
acaudilladoras,F,P,acaudillador
acaudilladores,M,P,acaudillador
acaule,A,S,acaule
acaules,A,P,acaule
acaya,F,S,acayo
acayas,F,P,acayo
acayo,M,S,acayo
acayos,M,P,acayo
acañutada,F,S,acañutado
acañutadas,F,P,acañutado
acañutado,M,S,acañutado
acañutados,M,P,acañutado
accesible,A,S,accesible
accesibles,A,P,accesible
accesional,A,S,accesional
accesionales,A,P,accesional
accesoria,F,S,accesorio
accesorias,F,P,accesorio
accesorio,M,S,accesorio
accesorios,M,P,accesorio
accidentada,F,S,accidentado
accidentadas,F,P,accidentado
accidentado,M,S,accidentado
accidentados,M,P,accidentado
accidental,A,S,accidental
accidentales,A,P,accidental
accidentaria,F,S,accidentario
accidentarias,F,P,accidentario
accidentario,M,S,accidentario
accidentarios,M,P,accidentario
accionaria,F,S
accionarial,A,S,accionarial
accionariales,A,P,accionarial
accionarias,F,P,accionario
accionario,M,S,accionario
accionarios,M,P,accionario
accitana,F,S,accitano
accitanas,F,P,accitano
accitano,M,S,accitano
accitanos,M,P,accitano
acebollada,F,S,acebollado
acebolladas,F,P,acebollado
acebollado,M,S,acebollado
acebollados,M,P,acebollado
acebrada,F,S,acebrado
acebradas,F,P,acebrado
acebrado,M,S,acebrado
acebrados,M,P,acebrado
